"y","en","x","inst"
-0.122686,-0.4974,1.112633,-1.995576
0.359252,-0.428915,-0.600412,0.269369
-1.194623,-0.799933,-1.917508,-0.236345
1.656812,-0.427458,0.830093,-0.8119
-0.09377,0.045028,-1.938729,-0.017531
1.174183,-0.323804,-0.013419,-0.833629
1.89979,2.047039,-0.628512,0.082952
-0.529884,-0.277597,-1.537428,0.795877
4.347557,0.387075,1.643901,-1.445367
2.763974,0.638876,1.432471,-0.347429
0.675011,-0.519181,-1.323781,0.294448
0.272303,1.275086,-0.381888,0.13094
0.638272,-0.458332,-0.350338,0.463164
2.87183,1.219508,-1.054613,-1.801354
1.113584,0.210243,0.146041,-0.024834
2.346782,-0.00845,-0.169209,1.242052
1.510072,1.691108,-0.662335,-0.159003
-1.82758,-0.809592,-0.455088,0.361623
4.602309,1.194104,0.598164,-0.540309
0.251334,0.890451,1.013486,-0.641788
0.00551,-1.54797,0.25264,-0.153293
-0.52466,-1.17438,0.235745,-1.077155
1.540814,1.792974,-0.189086,-1.623405
1.088678,0.37414,-0.049078,1.554311
2.302527,-0.359702,2.233055,0.190216
-3.282856,-1.055186,-0.075808,0.777845
0.157241,0.073751,-0.492363,-0.097077
-0.733256,-1.798783,0.57208,0.856872
1.653129,-1.067922,1.966644,-1.968692
-0.33067,-0.77727,-0.642966,0.202629
-0.294815,-1.427199,0.313026,-1.060271
2.544539,-0.175734,-0.905924,1.704447
-2.013033,-0.788586,-1.947004,-0.554141
0.79303,0.2997,-1.389029,1.616903
0.126407,-0.749918,0.63741,0.543323
0.626444,0.005615,-0.141003,0.4389
2.849706,1.118388,-1.907416,0.812117
0.30261,-0.307077,0.035114,0.361133
3.318085,2.086714,1.34329,1.214152
2.555327,0.046369,1.101892,0.757952
